s,r,g,m,p,d,n,Other,Melakarta,Janya,Key,TS,Song,Album
s,r1,g1,m1,p,d1,n1,,Kanakangi ,,C#sus,,Sri gana natham bhajamyaham,Sruthilayalu 
s,r1,g1,m1,p,d1,n2,,Ratnangi ,,Fsus,,Gandhamu puyyaruga,Subhodayam 
s,r1,,m1,p,,n2,,Ratnangi ,Revathi ,C#sus,,Jhummandhi naadham,Siri siri muvva 
s,r1,,m1,p,,n2,,Ratnangi ,Revathi ,Csus,,Naa gonthu sruthiloonaa,Jaanaki raamudu 
s,r1,,m1,p,,n2,,Ratnangi ,Revathi ,Dsus,,Ye theega poovuno ye komma,Maro charithra 
s,r1,g2,m1,p,d1,n2,r2,Hanumatodi ,,C#m,,Bhale bhale andhaalu srustinchavu,Bhaktha thukaram 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Em,,Cheppavey prema,Manasantha nuvve
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Cm,,Eymito ee maya challani raja,Missamma 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Em,,Ennenno Janmala Bandham,Pooja 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Em,,Gurthukosthunnayi,Na Autograph 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Bm,,Jagada jagada jagadam,Geethanjali 
s,r1,g2,m1,p,d1,n2,r2,Hanumatodi ,,Cm,,Jagamey maaya brathukey maaya,Devadasu 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,,Jayammu nischayammura,Sabash ramudu 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,,Kanulu therichina neevaye,Gundamma katha 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Fm,,Karigi poyanu karpura veenala,Marana mrudhangam 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,,Mounamgane edhagamani,Na Autograph 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Em,,Muddha banthi poovulo mooga kalla oosulo,Mooga manasulu 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,4,Naa manasuney meetakey neysthamaa,Manmadhudu 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,C#m,,Nadireyi ye jaamulo,Rangula raatnam
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,,Naruda oh naruda emi korika,Bhairava Dweepam
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,Dm,4,Nela raaja itu chuudaraa,Surya IPS 
s,r1,g2,m1,p,d1,n2,,Hanumatodi ,,C#m,,Ninnatidaka silanaina nee padhamu soki,Megha sandhesam 
